


36,,Lucian Bee's: Justice Yellow / Evil Violet,,5pb,HuneX,N/A,N/A,N/A,N/A,0.07m,N/A,0.07m,N/A,20th May 10,19th Dec 18
37,,Tokyo Twilight Ghost Hunters,,Aksys Games,Toybox Games,N/A,N/A,N/A,N/A,0.07m,0.00m,0.02m,0.01m,10th Mar 15,02nd Dec 18
38,,Steins;Gate: Senkei Kousoku no Phonogram,,5pb,5pb. Games,N/A,N/A,N/A,N/A,0.06m,N/A,0.06m,N/A,25th Apr 13,03rd Jan 19
39,,Steins;Gate,,5pb,5pb. Inc.,N/A,N/A,N/A,N/A,0.06m,0.02m,0.02m,0.01m,18th Sep 15,04th Jul 18
40,,Steins;Gate,,5pb,Nitro+,N/A,N/A,N/A,N/A,0.06m,N/A,0.06m,N/A,15th Oct 09,04th Jul 18
41,,Steins;Gate: Darling of Loving Vows,,5pb,5pb. Inc.,N/A,N/A,N/A,N/A,0.06m,N/A,0.06m,N/A,26th Apr 12,03rd Jan 19
42,,Fate/stay night [Réalta Nua],,Kadokawa Shoten,Type-Moon,N/A,N/A,N/A,N/A,0.06m,N/A,0.06m,N/A,29th Nov 12,03rd Jan 19
43,,Kyoukai Senjou no Horizon Portable,,Kadokawa Shoten,Tenky,N/A,N/A,N/A,N/A,0.05m,N/A,0.05m,N/A,25th Apr 13,05th Jan 19
44,,"Love, Election and Chocolate Portable",,Kadokawa Shoten,ASCII Media Works,N/A,N/A,N/A,N/A,0.05m,N/A,0.05m,N/A,27th Sep 12,29th Dec 18
45,,Bakemonogatari Portable,,Namco Bandai Games,Banpresto,N/A,N/A,N/A,N/A,0.05m,N/A,0.05m,N/A,23rd Aug 12,19th Jan 19
46,,New Hayarigami,,Nippon Ichi Software,Nippon Ichi Software,N/A,N/A,N/A,N/A,0.05m,N/A,0.05m,N/A,07th Jul 14,03rd Mar 18
