


43,,FIFA 09,,EA Sports,EA Canada,N/A,N/A,N/A,7.80m,N/A,N/A,N/A,N/A,15th Oct 08,20th Oct 20
44,,Madden NFL 07,,EA Sports,EA Tiburon,N/A,N/A,N/A,7.40m,N/A,N/A,N/A,N/A,22nd Aug 06,19th Oct 22
45,,NBA 2K14,,2K Sports,Visual Concepts,N/A,N/A,N/A,7.00m,N/A,N/A,N/A,N/A,01st Oct 13,22nd Oct 20
46,,NBA 2K15,,2K Sports,Visual Concepts,N/A,N/A,N/A,7.00m,N/A,N/A,N/A,N/A,07th Oct 14,22nd Oct 20
47,,Zumba Fitness,,Majesco,Pipeworks Software,N/A,N/A,N/A,7.00m,N/A,N/A,N/A,N/A,18th Nov 10,20th Jul 21
48,,Mario Strikers,,Nintendo,Next Level Games,N/A,N/A,N/A,6.67m,N/A,N/A,N/A,N/A,05th Dec 05,21st Feb 20
49,,FIFA Soccer 12,,EA Sports,EA Canada,N/A,9.2,N/A,N/A,6.65m,4.33m,0.11m,1.37m,27th Sep 11,N/A
50,,FIFA 14,,EA Sports,EA Canada,N/A,N/A,N/A,N/A,6.61m,4.77m,0.07m,0.98m,24th Sep 13,15th Sep 18
51,,Mario & Sonic at the Olympic Winter Games,,Sega,Sega Sports R&D,N/A,N/A,N/A,6.53m,N/A,N/A,N/A,N/A,13th Oct 09,09th Nov 20
52,,Madden NFL 06,,EA Sports,EA Tiburon,N/A,N/A,N/A,6.50m,N/A,N/A,N/A,N/A,08th Aug 05,19th Oct 22
53,,FIFA 15    Read the review,,EA Sports,EA Canada,8.8,8.1,N/A,N/A,6.32m,4.49m,0.05m,0.94m,23rd Sep 14,23rd Mar 18
54,,FIFA 07,,Electronic Arts,EA Canada,N/A,N/A,N/A,6.00m,N/A,N/A,N/A,N/A,25th Sep 06,28th Sep 22
55,,NBA Jam,,Midway,Midway,N/A,N/A,N/A,6.00m,N/A,N/A,N/A,N/A,04th Mar 94,24th Feb 20
56,,NBA 2K11,,2K Sports,Visual Concepts,N/A,N/A,N/A,5.50m,N/A,N/A,N/A,N/A,05th Oct 10,22nd Oct 20
57,,Madden NFL 2004,,EA Sports,EA Tiburon,N/A,9.5,N/A,N/A,5.23m,0.26m,0.01m,0.71m,12th Aug 03,N/A
58,,FIFA 13    Read the review,,EA Sports,EA Canada,9.3,N/A,N/A,N/A,5.11m,3.49m,0.03m,0.50m,25th Sep 12,06th Apr 18
59,,Mario & Sonic at the Olympic Games,,Sega,Sega,N/A,7.0,N/A,N/A,5.10m,2.46m,0.44m,0.57m,22nd Jan 08,N/A
60,,FIFA Soccer 11    Read the review,,EA Sports,EA Canada,8.6,8.7,N/A,N/A,5.08m,3.28m,0.06m,1.12m,28th Sep 10,N/A
61,,Tony Hawk's Pro Skater,,Activision,Neversoft Entertainment,N/A,9.6,N/A,N/A,5.02m,1.38m,0.02m,0.20m,31st Aug 99,N/A
62,,Madden NFL 11,,EA Sports,EA Canada,N/A,N/A,N/A,5.00m,N/A,N/A,N/A,N/A,10th Aug 10,20th Oct 20
63,,Madden NFL 12,,EA Sports,EA Tiburon,N/A,N/A,N/A,5.00m,N/A,N/A,N/A,N/A,30th Aug 11,15th Oct 20
64,,Madden NFL 2004,,EA Sports,EA Tiburon,N/A,N/A,N/A,5.00m,N/A,N/A,N/A,N/A,12th Aug 03,19th Oct 22
65,,Tecmo Bowl,,Tecmo,Tecmo,N/A,N/A,N/A,5.00m,N/A,N/A,N/A,N/A,01st Dec 87,08th Feb 20
66,,Madden NFL 06,,EA Sports,EA Tiburon,N/A,9.1,N/A,N/A,4.91m,0.26m,0.01m,0.66m,08th Aug 05,N/A
67,,Tony Hawk's Pro Skater 2,,Activision,Neversoft Entertainment,N/A,9.3,N/A,N/A,4.68m,1.41m,0.02m,0.20m,20th Sep 00,N/A
68,,FIFA 15,,EA Sports,EA Canada,N/A,6.9,N/A,N/A,4.56m,3.25m,0.04m,0.68m,23rd Sep 14,23rd Mar 18
69,,Mario & Sonic at the Olympic Winter Games,,Sega,Sega,N/A,6.8,N/A,N/A,4.54m,1.97m,0.22m,0.48m,13th Oct 09,N/A
70,,Madden NFL 2005,,EA Sports,EA Tiburon,N/A,9.5,N/A,N/A,4.53m,0.26m,0.01m,0.08m,09th Aug 04,N/A
71,,FIFA 08,,EA Sports,EA Canada,N/A,N/A,N/A,4.50m,N/A,N/A,N/A,N/A,08th Oct 07,17th Apr 21
72,,FIFA Football 2005,,EA Sports,EA Canada,N/A,N/A,N/A,4.50m,N/A,N/A,N/A,N/A,12th Oct 04,15th Oct 20
73,,Madden NFL 08,,EA Sports,EA Tiburon,N/A,N/A,N/A,4.50m,N/A,N/A,N/A,N/A,14th Aug 07,19th Oct 22
74,,Madden NFL 09,,EA Sports,EA Tiburon,N/A,N/A,N/A,4.50m,N/A,N/A,N/A,N/A,12th Aug 08,22nd Oct 20
75,,NBA 2K13,,2K Sports,Visual Concepts,N/A,N/A,N/A,4.50m,N/A,N/A,N/A,N/A,02nd Oct 12,22nd Oct 20
76,,Tony Hawk's Pro Skater 3,,Activision,Neversoft Entertainment,N/A,9.1,N/A,N/A,4.41m,1.29m,0.01m,0.46m,28th Oct 01,N/A
77,,Winning Eleven: Pro Evolution Soccer 2007,,Konami,Konami Computer Entertainment Tokyo,N/A,8.8,N/A,N/A,4.39m,2.39m,1.05m,0.86m,06th Feb 07,N/A
78,,Mario Tennis Aces    Read the review,,Nintendo,Camelot Software Planning,7.0,7.8,N/A,4.28m,N/A,N/A,N/A,N/A,22nd Jun 18,14th Jun 18
79,,FIFA Soccer 06,,EA Sports,EA Canada,N/A,8.4,N/A,N/A,4.21m,2.55m,0.04m,0.84m,04th Oct 05,N/A
80,,FIFA Soccer 12,,EA Sports,EA Canada,N/A,9.2,N/A,N/A,4.18m,2.79m,0.02m,0.52m,27th Sep 11,N/A
81,,Tennis,,Nintendo,Nintendo,N/A,N/A,N/A,4.16m,N/A,N/A,N/A,N/A,18th Oct 85,05th Dec 20
82,,FIFA 14,,EA Sports,EA Canada,N/A,N/A,N/A,N/A,4.15m,2.92m,0.01m,0.29m,24th Sep 13,15th Sep 18
83,,Madden NFL 2003,,EA Sports,EA Tiburon,N/A,9.4,N/A,N/A,4.14m,0.21m,0.01m,0.56m,12th Aug 02,N/A
84,,FIFA 07 Soccer,,EA Sports,Team Fusion,N/A,8.4,N/A,N/A,4.11m,2.48m,0.03m,0.89m,03rd Oct 06,N/A
85,,World Soccer Winning Eleven 9,,Konami,Konami Computer Entertainment Tokyo,N/A,8.9,N/A,N/A,4.06m,2.26m,0.90m,0.77m,07th Feb 06,N/A
86,,Golf,,Nintendo,Nintendo,N/A,N/A,N/A,4.01m,N/A,N/A,N/A,N/A,18th Oct 85,N/A
87,,Madden NFL 10,,EA Sports,EA Tiburon,N/A,N/A,N/A,4.00m,N/A,N/A,N/A,N/A,13th Aug 09,15th Oct 20
88,,Madden NFL 2005,,EA Sports,EA Tiburon,N/A,N/A,N/A,4.00m,N/A,N/A,N/A,N/A,09th Aug 04,19th Oct 22
89,,NBA 2K12,,2K Sports,Visual Concepts,N/A,N/A,N/A,4.00m,N/A,N/A,N/A,N/A,04th Oct 11,22nd Oct 20
90,,WWE SmackDown vs. Raw 2009,,THQ,THQ,N/A,N/A,N/A,4.00m,N/A,N/A,N/A,N/A,09th Nov 08,24th Oct 20
91,,NBA 2K16,,2K Sports,Visual Concepts,N/A,8.7,N/A,N/A,3.98m,0.66m,0.05m,0.71m,29th Sep 15,28th Mar 18
92,,Tony Hawk's Underground,,Activision,Neversoft Entertainment,N/A,8.7,N/A,N/A,3.90m,1.17m,0.01m,0.42m,27th Oct 03,N/A
93,,Sports Champions    Read the review,,Sony Computer Entertainment,SCE San Diego Studio,8.6,7.6,N/A,N/A,3.88m,1.13m,0.10m,0.50m,17th Sep 10,N/A
94,,World Soccer Winning Eleven 8 International,,Konami,Konami Computer Entertainment Tokyo,N/A,9.3,N/A,N/A,3.85m,1.89m,1.12m,0.68m,01st Feb 05,N/A
95,,FIFA 17,,Electronic Arts,EA Canada,N/A,8.8,N/A,N/A,3.71m,2.40m,N/A,0.27m,27th Sep 16,28th Mar 18
96,,FIFA Soccer 2005,,EA Sports,EA Canada,N/A,8.4,N/A,N/A,3.70m,2.48m,0.04m,0.59m,12th Oct 04,N/A
97,,Tony Hawk's Pro Skater 4,,Activision,Neversoft Entertainment,N/A,9.6,N/A,N/A,3.67m,1.18m,0.01m,0.35m,23rd Oct 02,N/A
98,,Pro Evolution Soccer 2008,,Konami,Konami,N/A,8.2,N/A,N/A,3.63m,0.00m,0.64m,2.93m,11th Mar 08,N/A
99,,FIFA Soccer 10    Read the review,,EA Sports,EA Canada,9.0,9.0,N/A,N/A,3.63m,2.46m,0.05m,0.52m,20th Oct 09,N/A
100,,NBA 2K17,,2K Sports,Visual Concepts,N/A,9.0,N/A,N/A,3.52m,0.59m,0.03m,0.63m,16th Sep 16,28th Mar 18
101,,FIFA Soccer 11,,EA Sports,EA Canada,N/A,8.7,N/A,N/A,3.52m,2.39m,0.02m,0.40m,28th Sep 10,N/A
102,,Mario Tennis,,Nintendo,Camelot Software Planning,N/A,N/A,N/A,3.50m,N/A,N/A,N/A,N/A,28th Aug 00,05th Dec 20
103,,WWE SmackDown vs. Raw 2010,,THQ,THQ,N/A,N/A,N/A,3.50m,N/A,N/A,N/A,N/A,20th Oct 09,24th Oct 20
104,,WWE SmackDown vs. Raw 2011,,THQ,THQ,N/A,N/A,N/A,3.50m,N/A,N/A,N/A,N/A,06th Oct 10,24th Oct 20
105,,FIFA Soccer 2004,,EA Sports,EA Canada,N/A,8.0,N/A,N/A,3.49m,2.36m,0.04m,0.51m,04th Nov 03,N/A
106,,Mario & Sonic at the Olympic Winter Games,,Sega,Sega,N/A,7.6,N/A,N/A,3.47m,1.63m,0.27m,0.37m,13th Oct 09,N/A
107,,FIFA 14,,EA Sports,EA Canada,N/A,N/A,N/A,N/A,3.43m,2.18m,0.12m,0.51m,15th Nov 13,15th Sep 18
108,,FIFA Soccer 2003,,EA Sports,EA Canada,N/A,N/A,N/A,N/A,3.40m,2.28m,0.05m,0.61m,14th Nov 02,N/A
109,,Mario Baseball,,Nintendo,Namco,N/A,N/A,N/A,3.37m,N/A,N/A,N/A,N/A,29th Aug 05,21st Feb 20
