


20,,Gex,,BMG Interactive Entertainment,Crystal Dynamics,N/A,N/A,N/A,15.00m,N/A,N/A,N/A,N/A,01st Apr 95,01st Mar 20
21,,Sonic the Hedgehog,,Sega,Sonic Team,N/A,N/A,N/A,15.00m,N/A,N/A,N/A,N/A,23rd Jun 91,N/A
22,,New Super Mario Bros. U Deluxe,,Nintendo,Nintendo EPD,N/A,N/A,6.6,14.75m,N/A,N/A,N/A,N/A,11th Jan 19,02nd Aug 20
23,,New Super Mario Bros. 2    Read the review,,Nintendo,Nintendo,7.6,7.5,N/A,13.41m,N/A,N/A,N/A,N/A,19th Aug 12,30th Jan 18
24,,Super Mario 3D Land    Read the review,,Nintendo,Nintendo EAD Tokyo,9.1,8.9,N/A,12.86m,N/A,N/A,N/A,N/A,13th Nov 11,06th Apr 18
25,,Super Mario Galaxy    Read the review,,Nintendo,Nintendo EAD Tokyo,9.6,9.7,9.6,12.80m,N/A,N/A,N/A,N/A,12th Nov 07,N/A
26,,Wario,,Nintendo,Nintendo,N/A,N/A,N/A,12.13m,N/A,N/A,N/A,N/A,13th Mar 94,22nd Feb 20
27,,Super Mario 64,,Nintendo,Nintendo EAD,N/A,9.7,9.2,11.91m,N/A,N/A,N/A,N/A,29th Sep 96,N/A
28,,Super Mario Land 2: 6 Golden Coins,,Nintendo,Nintendo R&D1,N/A,9.0,N/A,11.18m,N/A,N/A,N/A,N/A,02nd Nov 92,N/A
29,,Super Mario 64 DS,,Nintendo,Nintendo EAD,N/A,8.6,N/A,11.06m,N/A,N/A,N/A,N/A,20th Nov 04,N/A
30,,Super Mario 64 DS,,Nintendo,Nintendo EAD,N/A,N/A,N/A,11.06m,N/A,N/A,N/A,N/A,20th Nov 04,22nd Mar 20
31,,Super Mario 3D World + Bowser's Fury    Read the review,,Nintendo,Nintendo,N/A,N/A,N/A,10.82m,N/A,N/A,N/A,N/A,12th Feb 21,03rd Sep 20
32,,Super Mario All-Stars,,Nintendo,Nintendo EAD,N/A,N/A,9.5,10.55m,N/A,N/A,N/A,N/A,01st Aug 93,N/A
33,,Crash Bandicoot N. Sane Trilogy,,Activision,Vicarious Visions,N/A,N/A,N/A,10.00m,N/A,N/A,N/A,N/A,30th Jun 17,30th Oct 20
34,,Pitfall,,Activision,Activision,N/A,N/A,N/A,10.00m,N/A,N/A,N/A,N/A,20th Apr 82,16th Feb 20
35,,Donkey Kong Country,,Nintendo,Rare Ltd.,N/A,9.0,N/A,9.30m,N/A,N/A,N/A,N/A,21st Nov 94,N/A
36,,Super Mario 3D All-Stars    Read the review,,Nintendo,Nintendo,7.0,N/A,N/A,9.07m,N/A,N/A,N/A,N/A,18th Sep 20,04th Sep 20
37,,Cuphead,,Studio MDHR,Studio MDHR,N/A,N/A,N/A,8.00m,N/A,N/A,N/A,N/A,29th Sep 17,11th Mar 20
38,,Super Mario Maker 2,,Nintendo,Nintendo,N/A,N/A,N/A,7.89m,N/A,N/A,N/A,N/A,28th Jun 19,24th Apr 19
39,,Super Mario Bros. 2,,Nintendo,Nintendo EAD,N/A,N/A,N/A,7.46m,N/A,N/A,N/A,N/A,01st Oct 88,N/A
40,,Super Mario Galaxy 2    Read the review,,Nintendo,Nintendo EAD Tokyo,9.6,9.7,9.8,7.41m,N/A,N/A,N/A,N/A,23rd May 10,N/A
41,,Trine,,Nobilis,Frozenbyte,N/A,N/A,N/A,7.39m,N/A,N/A,N/A,N/A,03rd Jul 09,28th Jan 21
42,,Crash Bandicoot,,Sony Computer Entertainment,Naughty Dog,N/A,7.8,N/A,6.82m,N/A,N/A,N/A,N/A,01st Sep 96,N/A
43,,Donkey Kong Country Returns    Read the review,,Nintendo,Retro Studios,8.6,8.6,N/A,6.53m,N/A,N/A,N/A,N/A,21st Nov 10,N/A
44,,Kirby and the Forgotten Land    Read the review,,Nintendo,HAL Laboratory,8.0,N/A,N/A,6.12m,N/A,N/A,N/A,N/A,25th Mar 22,15th Jan 22
45,,Cuphead,,Studio MDHR,Studio MDHR,N/A,N/A,N/A,6.00m,N/A,N/A,N/A,N/A,29th Sep 17,23rd Nov 20
46,,Limbo,,Playdead,Playdead,N/A,N/A,N/A,6.00m,N/A,N/A,N/A,N/A,21st Jul 10,27th Dec 20
47,,Sonic the Hedgehog 2,,Sega,Sonic Team,N/A,N/A,N/A,6.00m,N/A,N/A,N/A,N/A,20th Nov 92,N/A
48,,Super Mario Sunshine    Read the review,,Nintendo,Nintendo EAD,8.9,9.2,N/A,5.91m,N/A,N/A,N/A,N/A,25th Aug 02,N/A
49,,Super Mario 3D World    Read the review,,Nintendo,Nintendo EAD Tokyo,9.3,9.5,N/A,5.88m,N/A,N/A,N/A,N/A,22nd Nov 13,02nd Jan 18
50,,New Super Mario Bros. U    Read the review,,Nintendo,Nintendo EAD,8.2,8.4,N/A,5.82m,N/A,N/A,N/A,N/A,18th Nov 12,02nd Aug 20
51,,Crash Bandicoot 3: Warped,,Sony Computer Entertainment,Naughty Dog,N/A,9.3,N/A,5.70m,N/A,N/A,N/A,N/A,31st Oct 98,24th Sep 18
52,,Trials,,RedLynx,RedLynx,N/A,N/A,N/A,5.70m,N/A,N/A,N/A,N/A,12th Aug 09,26th Apr 20
